metric,value
per_mouse_acc,0.7885551948051948
accuracy,0.7899543378995434
f1_macro,0.785659574468085
precision_Active,0.7717391304347826
recall_Active,0.7395833333333334
f1_Active,0.7553191489361702
precision_Passive,0.8031496062992126
recall_Passive,0.8292682926829268
f1_Passive,0.816
