mouse,group,day,factor1,factor2,composite
0910_black,Active,3,-7.785469693095654,11.540391957848797,1.8774586648391796
0910_black,Active,4,-0.7693049106572533,3.1498516497014095,1.1902728691218614
0910_black,Active,5,0.6803333250034663,0.6590639049453574,0.6696986176901039
0910_black,Active,6,-3.056480062249821,4.7658398518107825,0.8546788960220695
0910_black,Active,7,1.47990359438915,-0.4120036474810433,0.5339502150138837
0910_black,Active,8,-9.593924791644152,11.973570841533343,1.1898202711940566
0910_black,Active,9,-4.299543644800413,5.880249787773229,0.79035177172439
0910_black,Active,10,-2.1872942727632987,3.584571813594782,0.6986380334604823
0910_black,Active,11,-3.2873148332025823,5.214798439886138,0.9637407177869504
0910_black,Active,12,-4.96036154395969,6.693433814925372,0.8665346475193894
0910_black,Active,13,-3.305955010447283,4.988482328019973,0.8412625997477032
0910_black,Active,14,-3.567790774957316,6.22574902100504,1.3289778725789356
0910_black,Active,15,2.4237207208520104,-1.1885960616164901,0.6175627908404934
0910_black,Active,16,3.809071591075082,-2.8153769997809173,0.4968481414605779
0910_black,Active,17,-4.497318067999416,6.547975401892296,1.025327256676868
0910_black,Active,18,-3.255100594640721,5.803014463799647,1.273955778034
0910_orange,Passive,3,-4.524741188138359,7.343940252015454,1.4095980165383146
0910_orange,Passive,4,-1.398261470644693,3.5676499378004376,1.0846935995273803
0910_orange,Passive,5,2.737268903796074,-1.5507496616901375,0.5932601685497028
0910_orange,Passive,6,-1.398261470644693,3.5676499378004376,1.0846935995273803
0910_orange,Passive,7,-1.398261470644693,3.5676499378004376,1.0846935995273803
0910_orange,Passive,8,-1.398261470644693,3.5676499378004376,1.0846935995273803
0910_orange,Passive,9,-1.398261470644693,3.5676499378004376,1.0846935995273803
0910_orange,Passive,10,-1.398261470644693,3.5676499378004376,1.0846935995273803
0910_orange,Passive,11,2.07273800991597,-1.3480811511260515,0.3623288661671633
0910_orange,Passive,12,1.7704455460139168,-0.41266141364444847,0.6788923449251159
0910_orange,Passive,13,1.7735416399309072,-0.6723826305671428,0.5505798169789329
0910_orange,Passive,14,-3.2006524999611896,5.7566912502642005,1.2780182314725825
0910_orange,Passive,15,-3.558584034785441,6.246875624132905,1.3441445427068706
0910_orange,Passive,16,-1.999242086686247,4.76094109342379,1.3808486402246039
0910_orange,Passive,17,1.5867332674715693,-0.2844348099218369,0.6511494676867078
0910_orange,Passive,18,2.8143275534258727,-1.8278270500211413,0.493250844415398
0910_red,Passive,3,-4.039295596282797,6.630087030716735,1.2953943549439146
0910_red,Passive,4,-1.398261470644693,3.5676499378004376,1.0846935995273803
0910_red,Passive,5,1.422702799760453,0.1078027764163103,0.7652529559755907
0910_red,Passive,6,-1.398261470644693,3.5676499378004376,1.0846935995273803
0910_red,Passive,7,-1.398261470644693,3.5676499378004376,1.0846935995273803
0910_red,Passive,8,-1.398261470644693,3.5676499378004376,1.0846935995273803
0910_red,Passive,9,-1.398261470644693,3.5676499378004376,1.0846935995273803
0910_red,Passive,10,-1.398261470644693,3.5676499378004376,1.0846935995273803
0910_red,Passive,11,1.2164157647723473,-0.20964257932859376,0.5033867748018457
0910_red,Passive,12,-0.2563714060062341,1.237828409364147,0.49072831089864444
0910_red,Passive,13,4.657372775843134,-3.943194763311199,0.357090104391494
0910_red,Passive,14,-1.171019941988725,3.1938246401597636,1.0114017917795937
0910_red,Passive,15,1.3009884347380722,-0.1834343882659502,0.5587772127680409
0910_red,Passive,16,-4.827434596786277,8.019950633266065,1.596256377878185
0910_red,Passive,17,2.4918338836519265,-2.0149352345614835,0.23844989997215538
0910_red,Passive,18,6.44347751511561,-6.487354434519633,-0.021936808685775855
0911_black,Passive,3,-3.3197422608577773,6.256368057068315,1.4683116754218664
0911_black,Passive,4,-1.104748409317221,3.372677403354224,1.1339639253381382
0911_black,Passive,5,0.28520604882462736,1.170546028944151,0.7278759258436593
0911_black,Passive,6,-1.398261470644693,3.5676499378004376,1.0846935995273803
0911_black,Passive,7,-1.398261470644693,3.5676499378004376,1.0846935995273803
0911_black,Passive,8,-1.398261470644693,3.5676499378004376,1.0846935995273803
0911_black,Passive,9,-1.398261470644693,3.5676499378004376,1.0846935995273803
0911_black,Passive,10,-1.398261470644693,3.5676499378004376,1.0846935995273803
0911_black,Passive,11,-0.8449294357561099,2.85442016265948,1.0047448911165504
0911_black,Passive,12,0.6059754925305603,1.037528031225746,0.8217517067772709
0911_black,Passive,13,2.018941153482843,-0.825003412106493,0.5969692338046915
0911_black,Passive,14,-5.2347660573268335,8.5749217327725,1.6700760744937675
0911_black,Passive,15,-3.793185941176737,6.608107835550314,1.4074596191434763
0911_black,Passive,16,-5.714327698151699,9.214604809379184,1.750136649478852
0911_black,Passive,17,2.0683289185869658,-0.8703762513080643,0.5989767088550568
0911_black,Passive,18,3.708708887429124,-3.2892060129137115,0.20975233075560018
0911_orange,Passive,3,-8.022799405566488,12.01429935149508,1.9957474146157317
0911_orange,Passive,4,-1.188609283982213,3.428383841767428,1.1198866893922073
0911_orange,Passive,5,2.7625783540178936,-2.191779002700318,0.2854003082340515
0911_orange,Passive,6,-1.398261470644693,3.5676499378004376,1.0846935995273803
0911_orange,Passive,7,-1.398261470644693,3.5676499378004376,1.0846935995273803
0911_orange,Passive,8,-1.398261470644693,3.5676499378004376,1.0846935995273803
0911_orange,Passive,9,-1.398261470644693,3.5676499378004376,1.0846935995273803
0911_orange,Passive,10,-1.398261470644693,3.5676499378004376,1.0846935995273803
0911_orange,Passive,11,6.88065494476589,-6.420600841982111,0.2300287497040583
0911_orange,Passive,12,7.146371014511905,-6.793750638113695,0.17631196808204308
0911_orange,Passive,13,7.310954430080331,-6.696514679382712,0.3072216638307106
0911_orange,Passive,14,2.168269517186273,-0.3303102521576006,0.918979951534472
0911_orange,Passive,15,2.2660456735521812,-0.8712067608944785,0.6974198568950889
0911_orange,Passive,16,-7.921024116493525,10.33635488793945,1.2076630546100637
0911_orange,Passive,17,6.806262651139271,-6.399907188835778,0.2031794173232857
0911_orange,Passive,18,10.696556899513093,-11.206696105027108,-0.25506680613677
0911_red,Active,3,-5.697332376587815,8.838413830867921,1.5705388712074209
0911_red,Active,4,-0.4549657181134239,2.9209170868462606,1.2329752533317144
0911_red,Active,5,-1.3824290170037576,3.5510530038010666,1.084311363488766
0911_red,Active,6,-6.104954680627047,8.599199572935053,1.2471205687189317
0911_red,Active,7,-2.4564318992668914,4.599339459096792,1.0714528790299098
0911_red,Active,8,-2.9814765388831526,5.266650799074743,1.1425860769700413
0911_red,Active,9,-8.219932183738141,10.577750751752944,1.178906883908179
0911_red,Active,10,-5.3272945486511265,8.36041500178651,1.5165584789128794
0911_red,Active,11,-5.2588698611496305,7.526030593220889,1.1335787336520133
0911_red,Active,12,-8.027258198814184,11.366408848296722,1.6695728485464434
0911_red,Active,13,-4.906159990789073,8.384131123659447,1.7389838695229942
0911_red,Active,14,-5.0471610766032295,9.007701397908356,1.9802683661194487
0911_red,Active,15,-0.8380096348282893,3.462313173571429,1.3121512203038224
0911_red,Active,16,-1.955014479847461,4.654581779987977,1.349782806153117
0911_red,Active,17,-6.8371515283201365,10.578801566391679,1.8708227953566277
0911_red,Active,18,-5.00007588613156,8.175443971037405,1.587682360194791
0911_white,Active,3,-3.0365339965389415,5.842928946528268,1.4031963412596078
0911_white,Active,4,-2.1949397799621164,4.096861102725873,0.9509598580410377
0911_white,Active,5,0.3784367700411912,1.1789576921112643,0.7786971288652452
0911_white,Active,6,-2.014524990452576,3.3296092224026204,0.6575414336328198
0911_white,Active,7,3.5375633033661895,-2.5900115534133783,0.4737766573487705
0911_white,Active,8,2.8181539053745808,-1.7971208813826933,0.5105171012769454
0911_white,Active,9,4.3117928359251785,-3.186435478316293,0.5626796361826476
0911_white,Active,10,7.669650120193311,-7.6151318245096835,0.02726109941177013
0911_white,Active,11,6.231271590540335,-5.759788103966804,0.235743274312326
0911_white,Active,12,2.8536986329700325,-1.6282812424728972,0.6127092675103964
0911_white,Active,13,5.007609757161305,-4.473354034406851,0.26712907191226476
0911_white,Active,14,5.169924498606374,-3.697702786696024,0.736111988179047
0911_white,Active,15,9.628578430056573,-9.672667545899664,-0.022042093527097073
0911_white,Active,16,8.537666083351837,-7.89074601627539,0.32346213112755073
0911_white,Active,17,5.263506923526841,-4.354237719054801,0.4546358302353175
0911_white,Active,18,3.248472082608431,-2.0469189724148107,0.6007772312154571
6099_black,Active,3,-8.564014058190192,11.915052965190863,1.6755168387210029
6099_black,Active,4,-1.398261470644693,3.5676499378004376,1.0846935995273803
6099_black,Active,5,0.7046240210902276,0.970764899684659,0.8376944264064192
6099_black,Active,6,-7.446254460468259,10.054793611661047,1.3042673410522743
6099_black,Active,7,-1.903439822284922,4.370400302999089,1.2334794393094832
6099_black,Active,8,-6.39462764786718,8.638645239832075,1.1220068765253153
6099_black,Active,9,-3.7787664959414276,5.363804959212212,0.7925180643064871
