mouse_key,day_index,pupil_reward_peak,n_rewards
0910_black,1,-0.08450944522943463,211
0910_black,2,0.23588827907426624,192
0910_black,3,0.1953776443753059,43
0910_black,4,1.0682523419718588,28
0910_black,5,0.2364671063194505,22
0910_black,6,0.708112141446751,29
0910_black,7,1.17993396055739,20
0910_black,8,0.516977274741984,40
0910_black,9,0.5273377832234575,30
0910_black,10,0.11384026706757536,27
0910_black,11,-0.012801000298065662,30
0910_black,12,0.33058651891251545,31
0910_black,13,0.15585105568354676,29
0910_black,14,0.6924218591391474,33
0910_black,15,1.1430685310776174,19
0910_black,16,0.41641436274836263,16
0910_black,17,-0.03824301954531915,32
0910_black,18,0.37308569806419484,32
0910_orange,1,-0.3537880916661318,142
0910_orange,2,0.09172510841622081,184
0910_orange,3,-0.6101059956406041,32
0910_orange,4,1.065858410748656,25
0910_orange,5,-0.2883760242333994,15
0910_orange,6,0.18233417035161475,29
0910_orange,7,0.690070465081714,20
0910_orange,8,0.36719974307994413,40
0910_orange,9,0.004877304326235927,30
0910_orange,10,0.323649228167425,27
0910_orange,11,0.06982731965299598,14
0910_orange,12,0.10895812068737183,17
0910_orange,13,0.7264768933463359,17
0910_orange,14,0.6416827851143233,29
0910_orange,15,0.3196372550636194,30
0910_orange,16,0.06969036793481752,28
0910_orange,17,-0.18473495092248526,17
0910_orange,18,0.06183088826830545,14
0910_red,1,-0.02134051083641521,194
0910_red,2,0.48531067147706863,145
0910_red,3,0.4597340551160661,35
0910_red,4,0.5004070231713634,30
0910_red,5,-0.06857876741553781,23
0910_red,6,0.2887395208467473,29
0910_red,7,1.112911742092151,20
0910_red,8,0.7512677624793705,40
0910_red,9,0.18565856471075365,30
0910_red,10,0.4902084944894608,27
0910_red,11,0.5088630335459786,21
0910_red,12,0.4235388997973233,23
0910_red,13,0.35950860972678983,15
0910_red,14,0.27515685535174145,29
0910_red,15,0.3207407050210488,22
0910_red,16,0.22248886247652577,38
0910_red,17,0.2145467973725078,17
0910_red,18,0.28671132215360695,9
0911_black,1,0.016238735480733665,295
0911_black,3,-0.34755586234237235,28
0911_black,4,0.030690448325792208,22
