mouse_key,group,day_index,period,time_bin,pupil_mean,pupil_std,n_frames,pupil_z,pupil_pct
0910_black,Active,3,Pre,0.0,22.936772602719536,2.652689403974781,398,-1.4796388178345523,-1.3563482117560173
0910_black,Active,3,Pre,10.0,22.482645085507297,1.1110283116846809,400,-1.5739269714855877,-3.309404007846199
0910_black,Active,3,Pre,20.0,24.633279836441165,3.8592096405220606,400,-1.1274017728186705,5.939781532305331
0910_black,Active,3,Pre,30.0,22.955913518878404,2.634547396373828,400,-1.4756646881564217,-1.2740293127030842
0910_black,Active,3,Pre,40.0,22.882403618308604,3.0929509690032138,400,-1.490927169589711,-1.5901716558475592
0910_black,Active,3,Pre,50.0,22.020104287682752,1.4834260503640657,400,-1.6699619311878222,-5.298642606874345
0910_black,Active,3,Pre,60.0,23.123842780901626,2.941439614078479,400,-1.4407984017940594,-0.5518197876319153
0910_black,Active,3,Pre,70.0,22.053791103153642,1.1565924361111801,400,-1.662967711474752,-5.1537664923170885
0910_black,Active,3,Pre,80.0,25.64337852792646,2.344346428970359,400,-0.9176801923909333,10.28388980422595
0910_black,Active,3,Pre,90.0,28.44499983973779,3.6212294415036927,400,-0.33599401239090987,22.3327583138293
0910_black,Active,3,Pre,100.0,26.607739948161548,1.3482527218190592,400,-0.7174548056439743,14.431296842843386
0910_black,Active,3,Pre,110.0,23.4043173176606,2.0324083256582552,400,-1.3825649206355644,0.6544106188307969
0910_black,Active,3,Pre,120.0,28.542625778339897,4.017873290679402,400,-0.31572444239050834,22.752615948543998
0910_black,Active,3,Pre,130.0,31.28652456202555,2.7204447485854275,400,0.2539771068730861,34.5532385055284
0910_black,Active,3,Pre,140.0,30.147351400843895,2.522404851820163,400,0.017456460170162762,29.654022622610643
0910_black,Active,3,Pre,150.0,31.523015242504492,2.4792130711292844,400,0.303078446855563,35.57030855022874
0910_black,Active,3,Pre,160.0,27.500087920857126,3.355362234071627,400,-0.5321811995075103,18.26899729953673
0910_black,Active,3,Pre,170.0,25.791006437319382,4.516321097956816,400,-0.8870289711448186,10.918789767730638
0910_black,Active,3,Pre,180.0,36.053386141935015,1.9732228866627683,400,1.2436959854797396,55.05397075569663
0910_black,Active,3,Pre,190.0,31.80543829147564,4.039201842802142,400,0.3617164875527096,36.784918878465625
0910_black,Active,3,Pre,200.0,34.113603547601805,2.8636210905280497,400,0.8409489323461699,46.71159224872159
0910_black,Active,3,Pre,210.0,28.446403161122962,1.5596458889981482,400,-0.3357026480111445,22.338793545919867
0910_black,Active,3,Pre,220.0,31.980022747228123,1.6783532321615042,400,0.39796455745634274,37.535750242545426
0910_black,Active,3,Pre,230.0,34.846593895723615,1.8111032701471386,400,0.9931359369846382,49.86394702489871
0910_black,Active,3,Pre,240.0,33.288069885971716,1.9053002298451247,400,0.6695476369353442,43.16123856698097
0910_black,Active,3,Pre,250.0,35.21121176502656,1.9151825522153991,400,1.0688396642015954,51.43205073147802
0910_black,Active,3,Pre,260.0,36.10861898739164,1.6681537318122486,400,1.255163696247339,55.29150938717136
0910_black,Active,3,Pre,270.0,32.346262109592956,2.239393312027417,400,0.4740049469128,39.11082746714073
0910_black,Active,3,Pre,280.0,33.364051988732996,1.5387469324472194,400,0.6853234089560829,43.488013053380755
0910_black,Active,3,Pre,290.0,35.25331208850346,1.2462587697126137,400,1.0775807371784465,51.61311062692013
0910_black,Active,3,Pre,300.0,34.80037794001686,1.579311225130084,400,0.9835403565195778,49.66518712433373
0910_black,Active,3,Pre,310.0,32.9810960424833,2.8982079770153164,400,0.60581224142493,41.841043199931825
0910_black,Active,3,Pre,320.0,35.7821968488972,1.255739015146385,400,1.1873903515744617,53.887673183912256
0910_black,Active,3,Pre,330.0,37.52110988530602,1.0601448691797426,400,1.548431894639724,61.36617659084804
0910_black,Active,3,Pre,340.0,35.64204117819047,1.1785561245645628,400,1.158290552699063,53.28490890592036
0910_black,Active,3,Pre,350.0,34.49181221040691,3.4283173138193623,400,0.9194744459059536,48.338145569157824
0910_black,Active,3,Pre,360.0,34.53202934271717,3.3289387597636844,400,0.9278245216158597,48.51110646754789
0910_black,Active,3,Pre,370.0,34.709900385053565,1.3479516043034308,400,0.9647549685371051,49.27607237915843
0910_black,Active,3,Pre,380.0,34.745425127126104,2.443272163358463,400,0.9721307874690012,49.42885282249139
0910_black,Active,3,Pre,390.0,35.41077172547464,2.2460687810575726,400,1.1102732693018322,52.29029367569162
0910_black,Active,3,Pre,400.0,34.759425623999626,1.543271937833104,400,0.9750376384092503,49.48906443823938
0910_black,Active,3,Pre,410.0,33.56227027933775,2.02044541050554,400,0.7264784500681417,44.34048590887561
0910_black,Active,3,Pre,420.0,25.914422182694512,1.1497212166250577,400,-0.861404796608289,11.449561032844349
0910_black,Active,3,Pre,430.0,29.358648560024427,4.079098647028063,400,-0.14629784191816256,26.26206640707185
0910_black,Active,3,Pre,440.0,34.34537132077729,4.5501750138494,400,0.8890696794497092,47.70835059432024
0910_black,Active,3,Pre,450.0,36.45722560170532,0.7936256894379468,400,1.3275430891895506,56.79075385669887
0910_black,Active,3,Pre,460.0,30.830895562559473,4.000738818855195,400,0.1593772082075151,32.593725319151474
0910_black,Active,3,Pre,470.0,33.31053662973391,2.4744401206751743,400,0.6742122910415129,43.25786077651671
0910_black,Active,3,Pre,480.0,31.853604842500445,1.7266459704741246,400,0.3717170600609482,36.99206765957044
0910_black,Active,3,Pre,490.0,31.130395398671645,2.3519619701671,400,0.22156081412322234,33.881777394123105
0910_black,Active,3,Pre,500.0,31.618167405717585,1.9509494953632769,400,0.32283439963362726,35.979527275873586
0910_black,Active,3,Pre,510.0,33.527739800704175,1.2879242381987321,400,0.7193090649248827,44.19198147150729
0910_black,Active,3,Pre,520.0,32.52218354828849,1.5794344158025277,400,0.5105306076876862,39.86740876309479
0910_black,Active,3,Pre,530.0,31.586043714451307,2.5253728225393273,400,0.3161647233353339,35.84137365372676
0910_black,Active,3,Pre,540.0,32.63869639359119,3.1183341010645904,400,0.5347215686927779,40.36849288421192
0910_black,Active,3,Pre,550.0,31.921369269963623,1.6062333824943473,400,0.38578663855278944,37.28350057832009
0910_black,Active,3,Pre,560.0,28.010081117979396,4.086272486752857,400,-0.42629394293597334,20.462313343718886
0910_black,Active,3,Pre,570.0,23.187561551782228,1.4067279853417134,400,-1.4275688021077724,-0.27778593134405494
0910_black,Active,3,Pre,580.0,28.651353445536394,3.093248372498406,400,-0.2931498777535217,23.22021853276318
0910_black,Active,3,Pre,590.0,29.598161611577133,1.2622844782788947,400,-0.09656898262141246,27.292134693719266
0910_black,Active,3,Pre,600.0,28.98706222165322,3.6877895680747788,400,-0.2234483964189061,24.663993565419656
0910_black,Active,3,Pre,610.0,35.145070800679186,1.0330933814272654,400,1.0551071569813857,51.14759980331005
0910_black,Active,3,Pre,620.0,35.22271356837963,0.9238996219236859,400,1.0712277242964243,51.48151627331988
0910_black,Active,3,Pre,630.0,29.65826665910679,5.434806409207762,400,-0.08408968167204835,27.550627092886547
0910_black,Active,3,Pre,640.0,21.608036899007733,1.1079924711693856,400,-1.7555173573299756,-7.070811372977478
0910_black,Active,3,Pre,650.0,22.278443468809236,1.442115995542202,400,-1.6163242997276863,-4.187609216619629
0910_black,Active,3,Pre,660.0,22.692536845659966,0.883826591633297,400,-1.5303482281122545,-2.4067273296431546
0910_black,Active,3,Pre,670.0,21.438760697770526,0.9944998902751451,400,-1.7906633017327631,-7.79881364862893
0910_black,Active,3,Pre,680.0,23.870546475715372,1.5686199433007746,400,-1.2857641657261973,2.659511664094168
0910_black,Active,3,Pre,690.0,23.330086042419833,1.200009945275347,375,-1.3979771773703673,0.33516587618643484
0910_black,Active,4,Pre,0.0,26.21781729436484,0.630529201311889,398,-0.11069710274502267,-1.9848600728185122
0910_black,Active,4,Pre,10.0,26.622254718088687,2.0299344081039865,400,0.08865377488029844,-0.472873387084681
0910_black,Active,4,Pre,20.0,28.80795340228925,2.879229673256067,400,1.166004498035443,7.698346969104955
0910_black,Active,4,Pre,30.0,25.34694419441301,1.3693720966055007,400,-0.5399583594733869,-5.240613509201776
0910_black,Active,4,Pre,40.0,27.29987516977082,1.30541781555134,400,0.42265904693429124,2.060406277024496
0910_black,Active,4,Pre,50.0,25.97199887774247,2.6768452540306327,400,-0.2318632318310289,-2.903850629179515
0910_black,Active,4,Pre,60.0,28.251743967003584,1.9569056920065235,400,0.891843818129145,5.618961602419192
0910_black,Active,4,Pre,70.0,28.2346800286558,2.5416184052304627,400,0.8834328480115574,5.555168179569058
0910_black,Active,4,Pre,80.0,29.97824554541254,1.2157852979840043,400,1.7428521192608792,12.073476556592203
0910_black,Active,4,Pre,90.0,26.444538118416812,1.8030647233854784,400,0.0010556495956153735,-1.1372657424302073
