mouse_key,Group,Period,day_index,pupil_mean,pupil_baseline,pupil_pct,pupil_delta
0910_black,Active,Pre,3,30.0698015715879,27.4255482224281,9.641569706152222,2.644253349159797
0910_black,Active,Pre,4,26.4426130432079,27.4255482224281,-3.5840128745954347,-0.9829351792202026
0910_black,Active,Pre,5,27.4255482224281,27.4255482224281,0.0,0.0
0910_black,Active,During,6,34.0194417486125,27.4255482224281,24.04288684662294,6.593893526184399
0910_black,Active,During,7,25.1027632572033,27.4255482224281,-8.469420360849057,-2.322784965224802
0910_black,Active,During,8,22.123713088343,27.4255482224281,-19.331738024289923,-5.301835134085103
0910_black,Active,During,9,31.6202868969245,27.4255482224281,15.295003915604577,4.194738674496399
0910_black,Active,During,10,40.6831297999495,27.4255482224281,48.34026094938585,13.257581577521396
0910_black,Active,Post,11,36.4644741894248,27.4255482224281,32.95805025915519,9.038925966996697
0910_black,Active,Post,12,39.1040455257591,27.4255482224281,42.582548245218085,11.678497303330996
0910_black,Active,Post,13,39.50176779126,27.4255482224281,44.03273717954776,12.076219568831899
0910_black,Active,Withdrawal,14,28.4220416769196,27.4255482224281,3.6334495354830714,0.9964934544914996
0910_black,Active,Withdrawal,15,40.9722431081456,27.4255482224281,49.39443607781471,13.546694885717496
0910_black,Active,Withdrawal,16,31.1495140464807,27.4255482224281,13.578455365232076,3.7239658240525984
0910_black,Active,Re-exposure,17,42.6740329547382,27.4255482224281,55.59956216240802,15.2484847323101
0910_black,Active,Re-exposure,18,31.7563595399995,27.4255482224281,15.791156779975477,4.330811317571399
0910_orange,Passive,Pre,3,24.2160981723781,22.2084855278643,9.039844891696506,2.0076126445137987
0910_orange,Passive,Pre,4,22.2084855278643,22.2084855278643,0.0,0.0
0910_orange,Passive,Pre,5,21.9649249232606,22.2084855278643,-1.0967006475885666,-0.24356060460370088
0910_orange,Passive,During,6,27.871703034888,22.2084855278643,25.50024178784382,5.663217507023699
0910_orange,Passive,During,7,26.41422063952,22.2084855278643,18.93751425048274,4.205735111655699
0910_orange,Passive,During,8,19.581349399349,22.2084855278643,-11.829424952093708,-2.6271361285153
0910_orange,Passive,During,9,18.6880449731677,22.2084855278643,-15.85178129449491,-3.520440554696602
0910_orange,Passive,During,10,26.6758218515114,22.2084855278643,20.115447845563672,4.4673363236471
0910_orange,Passive,Post,11,30.7703917857298,22.2084855278643,38.552409380293575,8.561906257865498
0910_orange,Passive,Post,12,36.7417690879231,22.2084855278643,65.44022797873515,14.533283560058802
0910_orange,Passive,Post,13,39.0662776061955,22.2084855278643,75.90698635069126,16.857792078331197
0910_orange,Passive,Withdrawal,14,41.5786343324463,22.2084855278643,87.21958451547212,19.370148804581998
0910_orange,Passive,Withdrawal,15,46.8101354678489,22.2084855278643,110.77590099116696,24.6016499399846
0910_orange,Passive,Withdrawal,16,32.6107539428387,22.2084855278643,46.839161553465644,10.402268414974397
0910_orange,Passive,Re-exposure,17,29.1590194379251,22.2084855278643,31.29674871949363,6.950533910060798
0910_orange,Passive,Re-exposure,18,29.3593739151349,22.2084855278643,32.198901533824085,7.150888387270598
0910_red,Passive,Pre,3,23.6222690225519,23.6222690225519,0.0,0.0
0910_red,Passive,Pre,4,23.6859077012431,23.6222690225519,0.26940121048677984,0.06363867869119844
0910_red,Passive,Pre,5,22.5293890943213,23.6222690225519,-4.626481593225622,-1.0928799282306016
0910_red,Passive,During,6,30.0712486738536,23.6222690225519,27.30042421049787,6.448979651301698
0910_red,Passive,During,7,28.1379836293114,23.6222690225519,19.116345692483645,4.515714606759499
0910_red,Passive,During,8,25.5925618873212,23.6222690225519,8.340828151979318,1.9702928647692985
0910_red,Passive,During,9,26.8988776087293,23.6222690225519,13.870846120028773,3.2766085861773995
0910_red,Passive,During,10,45.961043080715,23.6222690225519,94.56658899632603,22.3387740581631
0910_red,Passive,Post,11,41.8017753995984,23.6222690225519,76.95918778882222,18.179506377046497
0910_red,Passive,Post,12,41.3246653792404,23.6222690225519,74.93944099861123,17.7023963566885
0910_red,Passive,Post,13,42.0678217931026,23.6222690225519,78.08544028069848,18.4455527705507
0910_red,Passive,Withdrawal,14,34.7397268709596,23.6222690225519,47.06346303055813,11.1174578484077
0910_red,Passive,Withdrawal,15,45.6099374783099,23.6222690225519,93.0802559007631,21.987668455758
0910_red,Passive,Withdrawal,16,35.6954089068234,23.6222690225519,51.109145665665814,12.073139884271502
0910_red,Passive,Re-exposure,17,30.7739028686496,23.6222690225519,30.27496570829042,7.151633846097699
0910_red,Passive,Re-exposure,18,39.1477913324999,23.6222690225519,65.72409405347965,15.525522309947998
0911_black,Passive,Pre,3,16.1741196477459,16.7332541866003,-3.3414572719641296,-0.5591345388543978
0911_black,Passive,Pre,4,17.7860149017275,16.7332541866003,6.2914284537088765,1.052760715127203
0911_black,Passive,Pre,5,16.7332541866003,16.7332541866003,0.0,0.0
0911_black,Passive,During,6,18.1964552206993,16.7332541866003,8.744270646833936,1.4632010340990007
0911_black,Passive,During,7,22.3798965139025,16.7332541866003,33.74503407606117,5.646642327302203
0911_black,Passive,During,8,13.5086268405942,16.7332541866003,-19.27077249916113,-3.2246273460060983
0911_black,Passive,During,9,14.34019571201,16.7332541866003,-14.301213905581006,-2.3930584745902976
0911_black,Passive,During,10,21.4473862059058,16.7332541866003,28.17223695245422,4.714132019305502
0911_black,Passive,Post,11,22.2581361263931,16.7332541866003,33.01737891615268,5.524881939792802
0911_black,Passive,Post,12,21.9871944510329,16.7332541866003,31.398197898887265,5.2539402644326
0911_black,Passive,Post,13,23.2432058168936,16.7332541866003,38.904277420863885,6.509951630293301
0911_black,Passive,Withdrawal,14,18.9160192700063,16.7332541866003,13.044474547897089,2.182765083406
0911_black,Passive,Withdrawal,15,19.9789525635423,16.7332541866003,19.396695590395687,3.245698376942002
0911_black,Passive,Withdrawal,16,19.7199926988408,16.7332541866003,17.849119357980182,2.9867385122405032
0911_black,Passive,Re-exposure,17,21.6830800965426,16.7332541866003,29.580772841579357,4.949825909942302
0911_black,Passive,Re-exposure,18,23.1684558625926,16.7332541866003,38.45756243364487,6.435201675992303
0911_orange,Passive,Pre,3,14.8276711085652,15.007439840508,-1.1978640851024434,-0.17976873194280074
0911_orange,Passive,Pre,4,15.007439840508,15.007439840508,0.0,0.0
0911_orange,Passive,Pre,5,17.9712268616031,15.007439840508,19.748784953282044,2.963787021095099
0911_orange,Passive,During,6,19.0534308841178,15.007439840508,26.95990179943206,4.045991043609801
0911_orange,Passive,During,7,17.2989463279226,15.007439840508,15.269136586703999,2.2915064874145994
0911_orange,Passive,During,8,14.2972294667777,15.007439840508,-4.732388610436431,-0.7102103737303
0911_orange,Passive,During,9,19.0416999418829,15.007439840508,26.881734288120523,4.034260101374899
0911_orange,Passive,During,10,24.7726487412619,15.007439840508,65.06911908049567,9.7652089007539
0911_orange,Passive,Post,11,22.0880388120059,15.007439840508,47.18059207131377,7.080598971497901
0911_orange,Passive,Post,12,19.1479250480673,15.007439840508,27.58955059332188,4.1404852075592995
0911_orange,Passive,Post,13,20.6866251090139,15.007439840508,37.84246566277529,5.679185268505899
0911_orange,Passive,Withdrawal,14,18.7729347804145,15.007439840508,25.09085480218081,3.765494939906498
0911_orange,Passive,Withdrawal,15,18.7676105231149,15.007439840508,25.055377349955897,3.7601706826068995
0911_orange,Passive,Withdrawal,16,18.7527213092519,15.007439840508,24.956165132407566,3.745281468743899
0911_orange,Passive,Re-exposure,17,19.0773657615924,15.007439840508,27.11938854553245,4.069925921084399
0911_orange,Passive,Re-exposure,18,24.4342562399531,15.007439840508,62.81428744428672,9.4268163994451
