analysis,accuracy
Period: Active->Passive,0.5609756097560976
Period: Passive->Active,0.2604166666666667
Period: Within Active,0.8854166666666666
Period: Within Passive,0.983739837398374
Substance: Active->Passive,0.6585365853658537
Substance: Passive->Active,0.3645833333333333
Substance: Within Active,0.9583333333333334
Substance: Within Passive,0.959349593495935
